source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	confidence	source	prediction_type	prediction_source
mondo	mondo:0022007	water intoxication	skos:exactMatch	icd11	icd11:1002499710	Fluid overload	semapv:SemanticSimilarityThresholdMatching	0.78	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002280	anemia	skos:exactMatch	icd11	icd11:100261963	Other anaemias	semapv:SemanticSimilarityThresholdMatching	0.72	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0011855	granular corneal dystrophy type II	skos:exactMatch	icd11	icd11:1002682456	Corneal dystrophy, Avellino type	semapv:SemanticSimilarityThresholdMatching	0.84	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0015925	interstitial lung disease	skos:exactMatch	icd11	icd11:1003222483	Other interstitial pulmonary diseases	semapv:SemanticSimilarityThresholdMatching	0.55	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001787	hepatic infarction	skos:exactMatch	icd11	icd11:1003389114	Infarction of liver	semapv:SemanticSimilarityThresholdMatching	0.85	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0004946	hypoglycemia	skos:exactMatch	icd11	icd11:1004695600	Hypoglycaemia without associated diabetes	semapv:SemanticSimilarityThresholdMatching	0.56	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0012964	chromosome 15q26-qter deletion syndrome	skos:exactMatch	icd11	icd11:1004760461	15q26.3 deletion	semapv:SemanticSimilarityThresholdMatching	0.82	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0013176	Weill-Marchesani 4 syndrome, recessive	skos:exactMatch	icd11	icd11:1004760461	15q26.3 deletion	semapv:SemanticSimilarityThresholdMatching	0.55	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0008659	transcobalamin I deficiency	skos:exactMatch	icd11	icd11:1005802309	Haptocorrin deficiency	semapv:SemanticSimilarityThresholdMatching	0.7	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0001558	Potter sequence	skos:exactMatch	icd11	icd11:1005874764	Potter syndrome	semapv:SemanticSimilarityThresholdMatching	0.63	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
